symbol,option_type,option_strike_price,option_close_price,lot_size,margin_allowance,last_implied_volatility,expiry_factor_quotient,url,expiry_date_full,expiry_date_prefix
INFY,CE,1180,20.05,600,10000,0,0,a,2018-03-28,18MAR
ITC,CE,275,3.7,2400,10000,0,0,a,2018-03-28,18MAR
JINDALSTEL,CE,280,4.4,4500,10000,0,0,a,2018-03-28,18MAR
LT,CE,1340,15.3,750,10000,0,0,a,2018-03-28,18MAR
MARUTI,PE,8500,131.05,75,10000,0,0,a,2018-03-28,18MAR
RELCAPITAL,PE,440,15.6,750,10000,0,0,a,2018-03-28,18MAR
SUNPHARMA,PE,500,15.05,1100,10000,0,0,a,2018-03-28,18MAR
TATAMOTORS,PE,350,8.45,1500,10000,0,0,a,2018-03-28,18MAR
TCS,CE,3200,33.3,250,10000,0,0,a,2018-03-28,18MAR
VEDL,PE,300,5.1,1750,10000,0,0,a,2018-03-28,18MAR
